label_fr,description,simple,fautes
impétigo,"Je me sens vraiment malade. J'ai une forte fièvre et un mal de tête. J'ai remarqué des éruptions cutanées sur mes bras et mon visage. Je suis extrêmement inquiet à ce sujet. Aujourd'hui, j'ai observé des plaies rouges près de mon nez.","Je me sens vraiment malade. J'ai une forte fièvre et un mal de tête. J'ai remarqué des éruptions cutanées sur mes bras et mon visage. Je suis très inquiet. Aujourd'hui, j'ai vu des plaies rouges près de mon nez.","Je me sens vraiment malade. J'ai une forte fièvre et un mal de tête. J'ai remarqué des éruption cutané sur mes bras et mon visage. Je suis très inquiet. Aujourd'hui, j'ai vu des plaie rouge près de mon né."
diabète,"Ma bouche et ma gorge sont sèches. De plus, j'ai de plus en plus faim. Cependant, j'ai parfois des périodes d'épuisement.","Ma bouche et ma gorge sont sèches. J'ai de plus en plus faim. Mais parfois, je me sens très fatigué.","Ma bouche et ma gorge son séche. J'ai de plu en plu faim. Mai parfoi, je me sen tré fatigué."
dengue,"J'ai une forte fièvre accompagnée de douleurs derrière les yeux et de maux de tête. Je me sens fatigué et épuisé, ce qui m'empêche de faire quoi que ce soit.","J'ai une forte fièvre avec des douleurs derrière les yeux et des maux de tête. Je suis fatigué et épuisé, ce qui m'empêche de faire quoi que ce soit.","J'ai une forte fièvre avec des douleur derrière les yeu et des mal de tete. Je sui fatigué et épuisé, sa m'empêche de fair quoi que ce soit."
infection fongique,"Récemment, ma peau a été très démangeante, et j'ai une éruption cutanée sur tout mon corps. Ma peau a aussi quelques taches où la couleur est différente et des bosses et des boutons qui ressemblent à des nœuds.","Récemment, ma peau me démange beaucoup, et j'ai une éruption partout sur mon corps. Ma peau a aussi des taches de couleurs différentes et des bosses qui ressemblent à des nœuds.","Récemment, ma peau me démange beaucoup, et j'ai une éruption partou sur mon corps. Ma peau a aussi des taches de couleurs diférentes et des bosses qui ressemble à des nœuds."
pneumonie,"Je transpire abondamment et j'ai du mal à respirer. Je me sens vraiment malade, et ma gorge est pleine de mucus. Mon cœur bat très fort, et ma poitrine me fait mal. Je tousse des expectorations épaisses qui ressemblent à de la rouille.","Je transpire beaucoup et j'ai du mal à respirer. Je me sens vraiment malade, et ma gorge est pleine de mucus. Mon cœur bat très fort, et ma poitrine me fait mal. Je tousse des crachats épais qui ressemblent à de la rouille.","Je transpire beaucou et j'ai du mal a respiré. Je me sens vraimen malade, et ma gorge est pleine de mucus. Mon cœur bat tré for, et ma poitrine me fais mal. Je tousse des cracha épai qui ressemble a de la rouille."
ulcère gastroduodénal,"J'ai un mal de ventre qui m'empêche de m'endormir ou de rester endormi. Après être allé aux toilettes, je me sens épuisé et je perds l'appétit. Je suis très nerveux tout le temps.","J'ai un mal de ventre qui m'empêche de m'endormir ou de rester endormi. Après être allé aux toilettes, je me sens fatigué et je n'ai plus faim. Je suis très nerveux tout le temps.","J'ai un mal de ventre qui m'empêche de m'endormir ou de rester endormi. Après être allé au toilettes, je me sens fatigué et je n'ai plus faim. Je suis tré nerveux tout le temp."
hypertension,"Je me sentais bien ce matin en me réveillant, mais au fur et à mesure que la journée avançait, j'ai commencé à avoir mal à la tête, à me sentir mal à l'estomac et à être étourdi. Depuis, j'ai du mal à me concentrer et à me focaliser sur mon travail.","Je me sentais bien ce matin en me réveillant, mais au fur et à mesure que la journée avançait, j'ai commencé à avoir mal à la tête, à me sentir mal à l'estomac et à être étourdi. Depuis, j'ai du mal à me concentrer sur mon travail.","Je me senté bien ce matin en me réveillant, mais au fur et a mesure que la journé avancé, j'ai commencé a avoir mal a la tete, a me sentir mal a l'estomac et a etre etourdi. Depui, j'ai du mal a me concentré sur mon travail."
ulcère gastroduodénal,"J'ai une sensation de brûlure dans le haut de mon abdomen, souvent entre les repas ou la nuit. J'ai des brûlures d'estomac et des indigestions, et je me sens souvent très nauséeux.","J'ai mal dans le haut de mon ventre, souvent entre les repas ou la nuit. J'ai des brûlures d'estomac et des indigestions, et je me sens souvent malade.","J'ai mal dans le haut de mon ventre, souvent entre les repas ou la nuit. J'ai des brulures d'estomac et des indigestions, et je me sens souvent malade."
acné,"Récemment, j'ai eu beaucoup de poussées d'acné avec des boutons remplis de pus. J'ai aussi eu des problèmes avec des points noirs.","Récemment, j'ai eu beaucoup de boutons d'acné avec du pus. J'ai aussi eu des points noirs.","Récement, j'ai eu beaucoup de bouton d'acné avec du pus. J'ai aussi eu des point noir."
rhume,"Mon cou est enflé, et je suis épuisé. Ma gorge est irritée, et mes yeux sont rouges et brûlants. Mon nez est très bouché, et je ressens une pression faciale. Ma poitrine me fait mal, et je ne sens rien.",Mon cou est gonflé et je suis très fatigué. Ma gorge me gratte et mes yeux sont rouges et brûlants. Mon nez est bouché et j'ai mal au visage. Ma poitrine me fait mal et je ne sens rien.,Mon cou est gonflé et je sui tré fatigué. Ma gorge me gratte et mes yeu son rouge et brulan. Mon nez est bouché et j'ai mal au visage. Ma poitrine me fais mal et je ne sen rien.
dengue,Les douleurs corporelles que je ressens sont extrêmes. J'ai perdu l'appétit et j'ai développé des éruptions cutanées sur mes bras et mon visage. Le fond de mes yeux me fait très mal.,J'ai des douleurs très fortes dans tout le corps. Je n'ai plus envie de manger et j'ai des boutons sur mes bras et mon visage. Le fond de mes yeux me fait très mal.,J'ai des douleur trè forte dans tou le cor. J'ai plus envi de manger et j'ai des bouton sur mes bras et mon visage. Le fon de mes yeu me fais trè mal.
asthme bronchique,"Salut Maman, Salut Papa, je me sens vraiment épuisé ces derniers temps et j'ai cette toux persistante. Ma respiration est devenue superficielle, et ma fièvre est très élevée. J'ai aussi toussé beaucoup de mucus épais.","Salut Maman, Salut Papa, je suis très fatigué ces derniers temps et j'ai une toux qui ne veut pas partir. J'ai du mal à respirer et j'ai beaucoup de fièvre. Je tousse aussi beaucoup de mucus épais.","Salut Maman, Salut Papa, je sui tré fatigué ces derniers temps et j'ai une tou qui veut pas partir. J'ai du mal à respiré et j'ai beaucou de fièvre. Je tousse aussi beaucou de mucus épai."
pneumonie,Je n'arrive pas à reprendre mon souffle et je transpire beaucoup. Je me sens vraiment malade et j'ai beaucoup de mucosités dans la gorge. Ma poitrine me fait mal et mon cœur bat vite. Les mucosités que je tousse sont brunâtres et filantes.,Je n'arrive pas à bien respirer et je transpire beaucoup. Je me sens vraiment malade et j'ai beaucoup de morve dans la gorge. Ma poitrine me fait mal et mon cœur bat très vite. La morve que je tousse est marron et filante.,Je n'arive pas a bien respiré et je transpire beaucou. Je me sens vraiment malade et j'ai beaucou de morve dans la gorge. Ma poitrine me fais mal et mon cœur bat tré vite. La morve que je tousse est marron et filante.
asthme bronchique,"Ma toux persistante, mes problèmes de respiration et mon épuisement rendent les choses difficiles pour moi. Je produis beaucoup de mucus épais tout en ayant une forte fièvre. En ce moment, je me sens plutôt mal parce que tout cela est tellement fatigant et épuisant.","Ma toux qui ne part pas, mes problèmes de respiration et ma fatigue rendent les choses difficiles. Je tousse beaucoup de mucus épais et j'ai beaucoup de fièvre. Je me sens très mal parce que tout cela est dur à supporter.","Ma toux qui ne par pas, mes problèmes de respiration et ma fatigue rendent les choses difficiles. Je tousse beaucoup de mucus épai et j'ai beaucoup de fièvre. Je me sens trè mal parce que tout sa est dur a suporté."
paludisme,"J'ai des démangeaisons sévères sur tout le corps, ainsi que des frissons et des nausées. Je transpire beaucoup et j'ai une fièvre très élevée. J'ai mal au ventre et j'ai mal à la tête. Mes muscles me font beaucoup souffrir.","J'ai des démangeaisons partout, des frissons et des nausées. Je transpire beaucoup et j'ai une très forte fièvre. J'ai mal au ventre et à la tête. Mes muscles me font très mal.","J'ai des démangeaison partou, des frison et des nausée. Je transpir beaucou et j'ai une tré forte fièvre. J'ai mal au ventre et à la tete. Mes muscle me font tré mal."
ulcère gastroduodénal,J'ai du mal à dormir à cause de douleurs ou d'inconfort abdominal. J'ai perdu l'appétit et je me sens fatigué après être allé aux toilettes. Je me sens très fatigué tout le temps.,J'ai du mal à dormir à cause de douleurs ou d'inconfort dans le ventre. Je n'ai plus faim et je me sens fatigué après être allé aux toilettes. Je me sens très fatigué tout le temps.,J'ai du mal à dormir à cause de douleurs ou d'inconfort dans le ventre. Je n'ai plus faim et je me sens fatigué après être allé aux toilettes. Je me sens très fatigué tout le temp.
rhume,"Depuis des jours, j'ai une mauvaise toux et un rhume. Mes sinus sont bouchés, et je ressens une pression faciale. J'ai aussi produit beaucoup de mucus, et tousser me fait mal à la poitrine. Je ne peux rien sentir, et mes muscles me font mal.","Depuis des jours, j'ai une mauvaise toux et un rhume. Mes sinus sont bouchés, et je ressens une pression dans le visage. J'ai aussi produit beaucoup de morve, et tousser me fait mal à la poitrine. Je ne peux rien sentir, et mes muscles me font mal.","Depuis des jours, j'ai une mauvaise toux et un rhume. Mes sinus sont bouchés, et je ressens une pression dans le visage. J'ai aussi produit beaucoup de morve, et tousser me fais mal à la poitrine. Je ne peux rien sentir, et mes muscles me font mal."
réaction médicamenteuse,"Mon cycle menstruel a changé, et j'ai eu un écoulement vaginal inattendu. Parfois, je perds mon calme, et mes humeurs changent beaucoup.","Mon cycle mensuel a changé, et j'ai eu un écoulement bizarre. Parfois, je perds mon calme, et mes émotions changent beaucoup.","Mon cicle mensuel a changé, et j'ai eu un écoulement bizare. Parfoi, je per mon calme, et mes émotion change beaucoup."
diabète,"J'ai des problèmes de respiration, surtout quand je suis dehors. Je deviens soudainement rouge et je transpire. J'ai souvent des infections à levures et des infections urinaires.","J'ai du mal à respirer, surtout quand je suis dehors. Je deviens soudainement rouge et je transpire. J'ai souvent des infections à levures et des infections urinaires.","J'ai du mal a respiré, surtou kan je sui dehor. Je devien soudenman rouge et je transpir. J'ai souvan des infection a levure et des infection urinaire."
acné,Ma peau a récemment été couverte d'une éruption cutanée sévère. Des points noirs et des boutons remplis de pus l'encombrent. Ma peau est également très délicate.,Ma peau a récemment été couverte d'une très mauvaise éruption cutanée. Des points noirs et des boutons remplis de pus l'encombrent. Ma peau est aussi très délicate.,Ma po a récement été couverte d'une tré mauvaise éruption cutané. Des poin noir et des bouton rempli de pus l'encombrent. Ma po est ossi tré délicat.
hypertension,"J'ai des problèmes d'équilibre, des maux de tête, des douleurs à la poitrine, et des vertiges. Ma capacité à prêter attention et à me focaliser a aussi été problématique.","J'ai des problèmes d'équilibre, des maux de tête, des douleurs à la poitrine, et je me sens étourdi. J'ai aussi du mal à prêter attention et à me focaliser.","J'ai des problèmes d'équilibre, des maux de tête, des douleurs à la poitrine, et je me sens étourdi. J'ai aussi du mal à prêté attention et à me focalisé."
jaunisse,"Les démangeaisons, les nausées et la fatigue m'ont dérangé. En plus, j'ai développé de la fièvre et j'ai perdu du poids. Mon urine est noire et j'ai développé une éruption cutanée jaune. J'ai aussi des douleurs à l'estomac.","Je me gratte, j'ai envie de vomir et je suis très fatigué. J'ai aussi eu de la fièvre et j'ai perdu du poids. Mon pipi est noir et j'ai des boutons jaunes. J'ai aussi mal au ventre.","Je me gratte, j'ai envi de vomir et je suis tré fatigué. J'ai aussi eu de la fiévre et j'ai perdu du pois. Mon pipi est noir et j'ai des boutons jaunes. J'ai aussi mal au ventre."
infection fongique,"Récemment, je me suis beaucoup gratté, et ma peau est couverte de taches d'éruption cutanée. De plus, j'ai eu quelques boutons assez fermes, et il y a certaines taches sur mon corps qui ont une teinte de brun différente du reste de ma peau.","Récemment, je me suis beaucoup gratté, et ma peau est couverte de taches d'éruption cutanée. J'ai aussi des boutons fermes et des taches de couleurs différentes.","Récemment, je me suis beaucoup gratté, et ma peau est couverte de tache d'éruption cutané. J'ai aussi des bouton ferme et des tache de couleur diférente."
asthme bronchique,Je me sens extrêmement fatigué et j’ai une toux persistante. J’ai une fièvre très élevée et j’ai des antécédents familiaux de maladies respiratoires. Je produis également des crachats mucopurulents.,"Je suis très fatigué et je tousse beaucoup. J’ai beaucoup de fièvre et dans ma famille, il y a des gens qui ont eu des problèmes de respiration. Je crache aussi des choses bizarres.","Je sui tré fatigué et je touce bocou. J’ai bocou de fièvre et dans ma famille, il y a des gens qui ont eu des problèmes de respiration. Je crache aussi des choses bizar."
diabète,"J'ai des difficultés à respirer, surtout pendant l'activité physique. J'ai des sueurs et des bouffées de chaleur inhabituelles. J'ai souvent des infections à levures.","J'ai du mal à respirer, surtout quand je fais du sport. J'ai des sueurs et des bouffées de chaleur inhabituelles. J'ai souvent des infections à levures.","J'ai du mal a respiré, surtou quand je fais du sport. J'ai des sueur et des bouffé de chaleur inhabituel. J'ai souvan des infection a levure."
dengue,J'ai des frissons et des tremblements. J'ai une forte douleur dans le dos et aussi derrière les yeux. J'ai aussi remarqué de petites taches rouges sur mon dos et mon cou.,J'ai froid et je tremble. J'ai très mal au dos et derrière les yeux. J'ai aussi des petits points rouges sur mon dos et mon cou.,J'ai froi et je tremble. J'ai trè mal au dos et derrière les yeu. J'ai aussi des petit poin rouge sur mon dos et mon cou.
migraine,"En plus des maux de tête récurrents et de la vision floue, je souffre de remontées acides et de troubles digestifs.","En plus d'avoir souvent mal à la tête et de voir flou, j'ai des remontées acides et je digère mal.","En plu d'avoir souvan mal a la tete et de voir flou, j'ai des remonte acide et je digere mal."
hypertension,"Je me sentais bien toute la journée, mais en rentrant du travail en voiture, j'ai soudainement commencé à avoir un mal de tête, une douleur à la poitrine et des vertiges. Depuis, j'ai du mal à me concentrer et à me focaliser en conduisant.","Je me sentais bien toute la journée, mais en rentrant du travail en voiture, j'ai soudainement commencé à avoir mal à la tête, à la poitrine et j'étais étourdi. Depuis, j'ai du mal à me concentrer en conduisant.","Je me senté bien toute la journé, mais en rentrant du travail en voiture, j'ai soudainement commencé a avoir mal a la tete, a la poitrine et j'eté etourdi. Depui, j'ai du mal a me concentré en conduisant."
dengue,"J'ai une très forte fièvre et des frissons chaque nuit. Cela m'inquiète beaucoup. De plus, je n'ai pas envie de manger et j'ai très mal au dos, aux bras et aux jambes. J'ai une douleur étrange derrière les yeux. Je ne peux pas faire d'activités physiques.","J'ai une très forte fièvre et des frissons chaque nuit. Cela m'inquiète beaucoup. Je n'ai pas envie de manger et j'ai très mal au dos, aux bras et aux jambes. J'ai une douleur étrange derrière les yeux. Je ne peux pas faire d'activités physiques.","J'ai une trè forte fièvre et des frison chaque nui. Sa m'inquiète beaucoup. J'ai pa envi de manger et j'ai trè mal au dos, au bras et au jambe. J'ai une douleur étrange derrière les yeu. Je peu pa fair d'activité physique."
dengue,"Je me sens extrêmement fatigué et épuisé, et je n'ai pas d'énergie pour faire quoi que ce soit. La fatigue est si sévère que j'ai du mal à sortir du lit. J'ai remarqué de petites taches rouges sur mes bras et mes jambes.",Je suis très fatigué et je n'ai pas d'énergie pour faire quoi que ce soit. Je suis tellement fatigué que j'ai du mal à sortir du lit. J'ai des petits points rouges sur mes bras et mes jambes.,Je sui trè fatigué et j'ai pa d'énergie pour fair quoi que ce soit. Je sui telman fatigué que j'ai du mal à sortir du lit. J'ai des petit poin rouge sur mes bras et mes jambe.
asthme bronchique,"J'ai une toux qui ne veut pas partir, et je suis épuisé. J'ai toussé beaucoup de mucus épais et ma fièvre est aussi assez élevée.","J'ai une toux qui ne veut pas partir, et je suis très fatigué. Je tousse beaucoup de mucus épais et j'ai beaucoup de fièvre.","J'ai une tou qui veut pas partir, et je sui tré fatigué. Je tousse beaucou de mucus épai et j'ai beaucou de fièvre."
hypertension,"J'ai eu des douleurs à la poitrine, des vertiges et un mal de tête qui ressemble à une pression continue sur mon front.","J'ai eu mal à la poitrine, des vertiges et un mal de tête qui fait comme une pression sur mon front.","J'ai eu mal a la poitrine, des vertige et un mal de tete qui fais comme une pression sur mon front."
hypertension,"Pendant une promenade, j'ai soudainement commencé à avoir un mal de tête, une douleur à la poitrine et des vertiges après m'être senti bien toute la journée. Depuis, j'ai du mal à me concentrer et à me focaliser.","Pendant une promenade, j'ai soudainement commencé à avoir mal à la tête, à la poitrine et j'étais étourdi après m'être senti bien toute la journée. Depuis, j'ai du mal à me concentrer.","Pendant une promenade, j'ai soudainement commencé a avoir mal a la tete, a la poitrine et j'eté etourdi apres m'etre senti bien toute la journé. Depui, j'ai du mal a me concentré."
réaction médicamenteuse,"Quand j'ai de la fièvre, je me sens assez nauséeux et étourdi. Mon cœur bat très fort, et mon esprit est complètement embrumé. Tout me semble un peu flou, et j'ai du mal à penser clairement.","Quand j'ai de la fièvre, je me sens malade et étourdi. Mon cœur bat très fort, et mon esprit est tout embrouillé. Tout me semble un peu flou, et j'ai du mal à penser clairement.","Quand j'ai de la fièvre, je me sen malade et étourdi. Mon cœur bat tré fort, et mon esprit est tou embrouillé. Tou me semble un peu flou, et j'ai du mal à penser clairement."
spondylose cervicale,"J'ai eu mal au dos, une toux sèche, et une faiblesse musculaire. J'ai eu mal au cou, je me suis senti étourdi, et j'ai eu du mal à rester debout.","J'ai mal au dos, je tousse sans rien sortir, et je n'ai pas de force. J'ai mal au cou, je me sens tout bizarre, et j'ai du mal à rester debout.","J'ai mal au do, je tousse sans rien sortir, et j'ai pas de force. J'ai mal au cou, je me sens tout bizare, et j'ai du mal a rester debout."
rhume,"Mon nez est très bouché, et mes yeux sont constamment très rouges et larmoyants. En plus, ma poitrine me fait mal et j'ai beaucoup de problèmes pour respirer. En plus, mes muscles me font très mal, et je ne peux rien sentir.","Mon nez est très bouché, et mes yeux sont toujours très rouges et larmoyants. En plus, ma poitrine me fait mal et j'ai beaucoup de problèmes pour respirer. En plus, mes muscles me font très mal, et je ne peux rien sentir.","Mon nez est tré bouché, et mes yeux sont toujour tré rouges et larmoyants. En plus, ma poitrine me fais mal et j'ai beaucoup de problèmes pour respiré. En plus, mes muscles me font tré mal, et je ne peux rien sentir."
dengue,J'ai des douleurs au dos qui s'aggravent lorsque je reste assis ou debout pendant longtemps. J'ai aussi des éruptions cutanées sur tout le corps. J'ai également une douleur derrière les yeux.,J'ai mal au dos quand je reste assis ou debout longtemps. J'ai des boutons partout sur le corps. J'ai aussi mal derrière les yeux.,J'ai mal au dos quand je reste assi ou debou longtem. J'ai des bouton par tou sur le corps. J'ai aussi mal derrière les yeux.
spondylose cervicale,"J'ai souffert de douleurs dans le dos, d'une toux sèche et d'un manque de force dans les muscles. Mon cou est douloureux et je me suis senti étourdi et instable sur mes pieds.","J'ai mal au dos, je tousse sans arrêt et mes muscles sont faibles. Mon cou me fait mal et je me sens étourdi et instable sur mes pieds.","J'ai mal au dos, je tousse sans arret et mes muscle son faible. Mon cou me fais mal et je me sen étourdi et instable sur mes pie."
dengue,"J'ai mal au dos tout le temps, et j'ai des éruptions cutanées sur les bras et le cou. J'ai mal derrière les yeux. J'ai aussi de la fièvre et cela m'inquiète pour ma santé.","J'ai mal au dos tout le temps, et j'ai des boutons sur les bras et le cou. J'ai mal derrière les yeux. J'ai aussi de la fièvre et ça m'inquiète.","J'ai mal au dos tou le temp, et j'ai des bouton sur les bras et le cou. J'ai mal derrière les yeux. J'ai aussi de la fièvre et ça m'inquiète."
pneumonie,"J'ai de la fièvre et j'ai du mal à respirer. J'ai beaucoup transpiré et je me sens généralement malade et faible. J'ai aussi eu des crachats épais et noirs. Mon cœur bat très vite, et ma poitrine me fait mal.","J'ai de la fièvre et j'ai du mal à respirer. Je transpire beaucoup et je me sens malade et faible. J'ai aussi des crachats épais et noirs. Mon cœur bat très vite, et ma poitrine me fait mal.","J'ai de la fièvre et j'ai du mal à respiré. Je transpire beaucoup et je me sens malade et faible. J'ai aussi des crachats épais et noir. Mon cœur bat très vite, et ma poitrine me fais mal."
impétigo,"J'ai aussi des symptômes grippaux, comme de la fièvre et des douleurs corporelles. J'ai remarqué des éruptions cutanées rouges et des plaies cloquantes près de mon nez et de mes lèvres. C'est démangeant et inconfortable.","J'ai aussi des symptômes de grippe, comme de la fièvre et des douleurs. J'ai remarqué des boutons rouges et des cloques près de mon nez et de mes lèvres. C'est démangeant et inconfortable.","J'ai aussi des symptôme de grippe, comme de la fièvre et des douleur. J'ai remarqué des bouton rouge et des cloque près de mon nez et de mes lèvres. Sa démange et sa inconfortable."
allergie,Ma peau est enflée et me démange. Elle peut parfois peler. Cela fait très mal quand mes joues et mes lèvres gonflent. J'ai parfois des maux de tête et des yeux larmoyants à cause du gonflement.,Ma peau est enflée et me démange. Elle peut parfois peler. Cela fait très mal quand mes joues et mes lèvres gonflent. J'ai parfois des maux de tête et des yeux larmoyants à cause du gonflement.,Ma peau est enflée et me demange. Elle peut parfois peler. Cela fais très mal quand mes joues et mes levres gonflent. J'ai parfois des maux de tete et des yeux larmoyants à cause du gonflement.
ulcère gastroduodénal,Je ne peux pas m'endormir ou rester endormi à cause de douleurs à l'estomac. Je me sens épuisé après être allé aux toilettes et je perds l'appétit. Je m'inquiète beaucoup.,Je ne peux pas m'endormir ou rester endormi à cause de douleurs au ventre. Je me sens fatigué après être allé aux toilettes et je n'ai plus faim. Je m'inquiète beaucoup.,Je ne peu pa m'endormir ou resté endormi a cause de douleur au ventre. Je me sens fatigué après être allé au toilette et je n'ai plu faim. Je m'inquiète beaucou.
allergie,"J'ai souvent de la fatigue, un mauvais goût dans la bouche, et des démangeaisons dans la gorge. Mes muscles sont aussi brûlants et inconfortables. Parfois, j'ai des crampes dans tout le corps.","J'ai souvent de la fatigue, un mauvais goût dans la bouche, et des démangeaisons dans la gorge. Mes muscles sont aussi brûlants et inconfortables. Parfois, j'ai des crampes dans tout le corps.","J'ai souvent de la fatigue, un mauvais gout dans la bouche, et des demangeaisons dans la gorge. Mes muscles sont aussi brulants et inconfortables. Parfois, j'ai des crampes dans tout le corps."
diabète,"J'ai des irritations et des éruptions cutanées, surtout dans les plis de ma peau. Les plaies et les bleus que j'ai sur la peau guérissent très lentement.","J'ai des irritations et des boutons sur la peau, surtout dans les plis. Mes blessures et mes bleus guérissent très lentement.","J'ai des irritation et des bouton sur la peau, surtou dan les pli. Mes blésure et mes bleu guérison tré lentement."
spondylose cervicale,"En plus d'avoir des douleurs atroces au dos, j'ai aussi toussé des mucosités et je me suis senti faible partout. Je me suis senti étourdi et instable sur mes pieds, et mon cou me fait mal aussi.","En plus d'avoir très mal au dos, j'ai aussi toussé des glaires et je me sens faible partout. Je me sens tout bizarre et instable sur mes pieds, et mon cou me fait mal aussi.","En plus d'avoir tré mal au do, j'ai aussi toussé des glaire et je me sens faible partou. Je me sens tout bizare et instable sur mes pied, et mon cou me fais mal aussi."
arthrite,Je me sens vraiment faible dans mes muscles récemment et mon cou est vraiment raide. Mes articulations enflées rendent difficile pour moi de bouger. Marcher est aussi difficile.,Je me sens très faible dans mes muscles récemment et mon cou est très raide. Mes articulations gonflées rendent dur de bouger. Marcher est aussi difficile.,Je me sens tré faible dans mes musclé récement et mon cou est tré raide. Mes articulation gonflé rend dur de bouger. Marcher est aussi difficile.
varices,"La peau de mes mollets est irritée et enflammée, ce qui cause beaucoup d'inconfort et de difficulté à dormir la nuit. Les vaisseaux sanguins commencent à ressortir, ce qui est préoccupant.","La peau de mes mollets me gratte et est enflée, ce qui me fait mal et m'empêche de dormir la nuit. Les veines commencent à ressortir, ce qui m'inquiète.","La peau de mes mollet me gratte et est enflé, sa me fais mal et m'empêche de dormir la nuit. Les veines commence a ressortir, sa m'inquiète."
allergie,"Mon nez coule et j'éternue beaucoup. Mes yeux sont humides et douloureux, et je tousse tout le temps. J'ai constamment mal à la tête.","Mon nez coule et j'éternue beaucoup. Mes yeux sont mouillés et me font mal, et je tousse tout le temps. J'ai tout le temps mal à la tête.","Mon néz coule et j'éternue beaucoup. Mes yeux sont mouillé et me font mal, et je tousse tout le temp. J'ai tout le temp mal à la tete."
dengue,Les vomissements que je ressens sont accompagnés de crampes à l'estomac et de vertiges. J'ai perdu l'appétit et je me sens faible en conséquence. J'ai aussi une douleur derrière les yeux.,Je vomis et j'ai des crampes à l'estomac et des vertiges. Je n'ai plus faim et je me sens faible. J'ai aussi mal derrière les yeux.,Je vomi et j'ai des crampes à l'estomac et des vertige. J'ai plus faim et je me sens faible. J'ai aussi mal derrière les yeux.
diabète,J'ai souvent envie d'uriner et j'ai souvent des envies très fortes. Je me sens souvent étourdi et confus. J'ai aussi perdu la vue.,J'ai souvent envie d'aller aux toilettes et j'ai souvent des envies très fortes. Je me sens souvent étourdi et confus. J'ai aussi perdu la vue.,J'ai souvent envi d'aler au toilette et j'ai souvent des envi tré forte. Je me sen souvent étourdi et confu. J'ai aussi perdu la vue.
rhume,"J'ai une toux et un rhume terribles depuis des jours. Mon visage est fatigué et mes sinus sont bouchés. En plus, ma poitrine me fait mal à cause des glaires que j'ai toussées. Je ne sens rien, et mes muscles me font terriblement mal.","J'ai une grosse toux et un rhume depuis plusieurs jours. Mon visage est fatigué et mon nez est bouché. En plus, ma poitrine me fait mal à cause des morves que j'ai toussées. Je ne sens rien et mes muscles me font très mal.","J'ai une grose toux et un rhume depui pluieur jour. Mon visage est fatigué et mon nez est bouché. En plu, ma poitrine me fais mal a cause des morve que j'ai toussé. Je ne sen rien et mes muscle me font tré mal."
varices,Rester debout ou marcher pendant de longues périodes cause une grande gêne dans mes jambes. C'est une douleur brûlante qui empire plus je reste debout.,Rester debout ou marcher longtemps me fait mal aux jambes. C'est une douleur brûlante qui empire plus je reste debout.,Rester debout ou marcher longtemps me fais mal au jambes. Sa une douleur brulante qui empire plus je reste debout.
infection fongique,"J'ai ressenti des démangeaisons très intenses sur tout mon corps, accompagnées de rougeurs et de bosses sur ma peau. Il y a aussi des taches étranges de couleurs différentes du reste de ma peau, et parfois j'ai des nodules qui ressemblent à des petites bosses.","J'ai des démangeaisons très fortes sur tout mon corps, avec des rougeurs et des bosses. Il y a aussi des taches de couleurs différentes et parfois des nodules qui ressemblent à des petites bosses.","J'ai des démangeaisons tré fortes sur tout mon corps, avec des rougeurs et des bosses. Il y a aussi des taches de couleurs diférentes et parfois des nodules qui ressemble à des petites bosses."
varices,"Il y a des bleus sur mes jambes que je ne peux pas expliquer. Je peux voir des vaisseaux sanguins étranges sous la peau. De plus, je suis légèrement obèse et je suis vraiment inquiet.","Il y a des bleus sur mes jambes que je ne comprends pas. Je vois des vaisseaux sanguins bizarres sous la peau. En plus, je suis un peu gros et ça m'inquiète.","Il y a des bleus sur mes jambes que je comprend pas. Je vois des vaisseaux sanguins bizar sous la po. En plus, je suis un peu gros et sa m'inquiète."
acné,"Ce matin, j'ai découvert que j'avais une éruption cutanée importante sur tout le corps. Des points noirs et des boutons remplis de pus se multiplient, et ma peau a beaucoup démangé.","Ce matin, j'ai vu que j'avais une grosse éruption sur tout le corps. Il y a beaucoup de boutons pleins de pus et de points noirs, et ma peau me gratte beaucoup.","Ce matin, j'ai vu que j'avais une grosse éruption sur tout le corps. Il y a beaucoup de boutons plein de pus et de poin noir, et ma peau me gratte beaucoup."
typhoïde,"Je souffre de constipation et de douleurs à l'estomac, ce qui est vraiment inconfortable. La nuit dernière, j'ai aussi eu une légère fièvre.","J'ai des problèmes pour aller aux toilettes et j'ai mal au ventre, ce qui est vraiment inconfortable. La nuit dernière, j'ai aussi eu une petite fièvre.","J'ai des problème pour alé au toilette et j'ai mal au ventre, ce qui est vréman inconfotable. La nuit dernière, j'ai aussi eu une petite fiévre."
varices,J'ai remarqué que les crampes dans mes mollets deviennent plus fréquentes et intenses. Cela me cause beaucoup d'inconfort. Je suis aussi en surpoids et mes jambes ont commencé à enfler.,J'ai des crampes dans mes mollets qui sont de plus en plus fréquentes et fortes. Ça me fait beaucoup de mal. Je suis aussi en surpoids et mes jambes gonflent.,J'ai des crampe dans mes molé qui son de plu en plu fréquente et forte. Sa me fais beaucou de mal. Je sui aussi en surpoi et mes jambe gonfle.
